keywords;title;description;modified;Typ;Kontakt;URL
Abfall;Abfallstatistik;Siedlungsabfälle und ihre Behandlung;2024-12-31 00:00:00.000;Statistik;data@bafu.admin.ch;
Abfall;Sonderabfallstatistik;Sonderabfälle und ihre Behandlung;2024-12-31 00:00:00.000;Statistik;data@bafu.admin.ch;
Klima;Treibhausgasinventar;Emissionen von teilhalogenierten Fluorkohlenwasserstoffen (HFKW), perfluorierten Kohlenwasserstoffen (PFKW) und Schwefelhexafluorid (SF6).;2024-12-31 00:00:00.000;Statistik;data@bafu.admin.ch;
Luft;Landwirtschaftliche Betriebsparameter zur Berechnung der Ammoniak-Emissionen;"Ausgestaltung und Nutzung von Stall_x0002_Systemen für verschiedene Tierkatego_x0002_rien; Fütterung der Nutztiere; Weide_x0002_dauer; Art der Lagerung; Aufbereitung und Ausbringung der flüssigen und festen Hofdüng";;Statistik;data@bafu.admin.ch;
Wald & Holz;Industrieholzerhebung;Bezug, Verbrauch und Lager von Industrieholz;;Statistik;data@bafu.admin.ch;
Biodiversität;Eidgenössische Jagdstatistik;Bestand und Abschuss von wildlebenden Tieren, Fallwild;2024-12-31 00:00:00.000;Statistik;data@bafu.admin.ch;
Biodiversität;Fischereistatistik;Bestand, Fang und Besatz von Fischen und Krebsen;2024-12-31 00:00:00.000;Statistik;data@bafu.admin.ch;
Abfall;Exportierte Sonderabfälle;;2024-08-19 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Importierte Sonderabfälle;;2024-08-19 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;In der Schweiz anfallende Sonderabfälle;;2024-08-19 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Siedlungsabfälle;Die stetige Zunahme der Bevölkerung und der steigende Wohlstand verursachen immer mehr Abfälle, die verbrannt oder wiederverwertet werden müssen. In den letzten Jahren beschränkte sich die Zunahme vor allem auf die stofflich verwerteten Abfälle, während die in KVA verbrannte Abfallmenge stabil blieb. Der damit verbundene Energieverbrauch und der Ausstoss von Schadstoffen in Kehrichtverbrennungsanlagen konnten in der Schweiz durch hohe Entsorgungsstandards und technische Massnahmen deutlich reduziert werden. Problematisch ist eine hohe Abfallmenge vor allem deshalb, weil sie mit einem hohen Ressourcenverbrauch verbunden ist.;2024-11-01 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Abfallverbrennung;Je mehr konsumiert wird, desto grösser ist die Abfallmenge, die verbrannt oder wiederverwertet werden muss. Der Energieverbrauch und der Schadstoffausstoss, die mit der Abfallverbrennung verbunden sind, konnten durch hohe Entsorgungsstandards und technische Massnahmen deutlich reduziert werden, zudem wird die Verbrennungswärme zur Energieerzeugung genutzt. Nach wie vor problematisch ist jedoch der grosse Verbrauch von Ressourcen, der mit einer hohen Abfallmenge verbunden ist.;;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;In Zementwerk entsorgte Abfallmenge;;2024-10-17 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Energieeffizienz bei der Abfallverbrennung;Alle Kehrichtverbrennungsanlagen (KVA) nutzen die Wärme, die beim Verbrennen der Abfälle entsteht, zur Erzeugung von Energie. Entsprechend dem Biomasseanteil im Kehricht gilt 50% dieser Energie als erneuerbar. Die KVA liefern rund 2% der Gesamtenergie der Schweiz. Damit liefern sie nach der Wasserkraft den grössten Teil der gesamtschweizerischen Stromproduktion aus erneuerbaren Ressourcen.;2024-10-11 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
Abfall;Energieproduktion aus Abfällen;;2024-10-11 00:00:00.000;Indikator;data@bafu.admin.ch;https://www.bafu.admin.ch/bafu/de/home/zustand/indikatoren.html/
