keyword;title;description;modified;Typ;Kontakt;URL
BAFU;Geodatenmodell Messorte;;2013-05-27;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/daten-karten/geodatenmodell/messorte.zip.download.zip/messorte.zip
Abfall;Geodatenmodell Abfallanlagen und Materialentnahmestellen V1.2;;2021-05-18;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/abfall/geodatenmodell/Abfallanlagen_Materialentnahmestellen_(ID114.1,114.3)_V1.2.zip.download.zip/Abfallanlagen_Materialentnahmestellen_(ID114.1,114.3)_V1.2.zip
Altlasten;Geodatenmodell Kataster der belasteten Standorte V1.5;;2024-12-12;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/altlasten/geodatenmodell/Kataster_der_belasteten_Standorte_V1_5.zip.download.zip/Kataster_der_belasteten_Standorte_V1_5.zip
Biodiversität;Geodatenmodell Bundesinventar der Amphibienlaichgebiete von nationaler Bedeutung, V1.1;Geodatenmodell (ID 22.1 und 22.2), Publikationsdatum 06.11.2012;2018-08-17;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_deramphibienlaichgebietevonnationalerbedeutung.zip.download.zip/bundesinventar_deramphibienlaichgebietevonnationalerbedeutung.zip
Biodiversität;Geodatenmodell Bundesinventar der Auengebiete von nationaler Bedeutung, V1.1;Geodatenmodell (ID 19.1), Publikationsdatum 06.11.2012;2019-11-18;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_derauengebietevonnationalerbedeutung.zip.download.zip/bundesinventar_derauengebietevonnationalerbedeutung.zip
Biodiversität;Geodatenmodell Bundesinventar der eidgenössischen Jagdbanngebiete , V2;Geodatenmodell (ID 170.1 und 170.2), Publikationsdatum 24.02.2015;2018-08-17;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_dereidgenoessischenjagdbanngebieteinklroutennetz.zip.download.zip/bundesinventar_dereidgenoessischenjagdbanngebieteinklroutennetz.zip
Biodiversität;Geodatenmodell Bundesinventar der Flachmoore von nationaler Bedeutung, V1.1;Geodatenmodell (ID 21.1), Publikationsdatum 06.11.2012;2019-08-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_derflachmoorevonnationalerbedeutung.zip.download.zip/bundesinventar_derflachmoorevonnationalerbedeutung.zip
Biodiversität;Geodatenmodell Bundesinventar der Hoch- und Übergangsmoore von nationaler Bedeutung, V1.1;Geodatenmodell (ID 20.1), Publikationsdatum 06.11.2012;2019-08-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_derhoch-unduebergangsmoorevonnationalerbedeutung.zip.download.zip/bundesinventar_derhoch-unduebergangsmoorevonnationalerbedeutung.zip
Biodiversität;Geodatenmodell Bundesinventar der Moorlandschaften von besonderer Schönheit und nationaler Bedeutung, V1.1;Geodatenmodell (ID 24.1), Publikationsdatum 06.11.2012;2018-08-17;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_dermoorlandschaftenvonbesondererschoenheitundnati.zip.download.zip/bundesinventar_dermoorlandschaftenvonbesondererschoenheitundnati.zip
Biodiversität;Geodatenmodell Bundesinventar der Trockenwiesen und -weiden von nationaler Bedeutung, V1.2;Geodatenmodell (ID 186.1), Publikationsdatum 05.09.2017;2023-11-21;Geodatenmodell;gis@bafu.admin.ch;https://www.bafu.admin.ch/dam/bafu/de/dokumente/biodiversitaet/geodatenmodell/bundesinventar_dertrockenwiesenund-weidenvonnationalerbedeutung.zip.download.zip/bundesinventar_dertrockenwiesenund-weidenvonnationalerbedeutung.zip
